"Story","Title","Result","Date","Stability","Duration (s)"
"BrowserStack Local Testing","Can check tunnel working","ERROR","2017-10-03T09:17:16.586+02:00","0.0","1.88"
"Google's Search Functionality","Can find search results","SUCCESS","2017-10-05T09:17:36.423+02:00","0.0","16.96"
